model,audio_id,scenario_id,language,domain,case_type,route,case_type_correct,route_correct,field_hits,field_checked,field_accuracy,amount_hits,amount_total,refnum_hits,refnum_total,negation_expected,negation_kept,completeness,confidence,missing_count
sahara,fin_01_s1,fin_01,pidgin,financial,failed_transfer,bank_dispute_workflow,1,1,3,5,0.6,1,1,1,1,2,2,1.0,high,0
sahara,fin_05_s1,fin_05,pidgin,financial,payment_dispute,merchant_dispute_workflow,1,1,3,4,0.75,1,1,0,0,1,1,0.667,high,2
sahara,fin_02_s1,fin_02,yoruba,financial,unauthorized_transaction,fraud_review,1,1,3,5,0.6,1,1,0,0,1,1,0.833,medium,1
sahara,legal_01_s1,legal_01,pidgin,legal,tenancy_dispute,legal_aid_review,1,1,3,4,0.75,0,1,0,0,2,2,0.8,high,1
sahara,fin_03_s1,fin_03,pidgin,financial,failed_atm_withdrawal,bank_dispute_workflow,1,1,3,5,0.6,0,2,0,0,2,2,0.833,medium,1
sahara,fin_04_s1,fin_04,igbo,financial,unauthorized_transaction,fraud_review,1,1,4,5,0.8,0,1,0,0,3,3,1.0,medium,0
sahara,legal_03_s1,legal_03,pidgin,legal,employment_dispute,labour_review,1,1,3,4,0.75,1,1,0,0,1,1,1.0,high,0
sahara,fin_06_s1,fin_06,hausa,financial,loan_dispute,lending_conduct_review,1,1,2,4,0.5,2,3,0,0,1,1,0.667,medium,2
sahara,legal_02_s1,legal_02,yoruba,legal,tenancy_dispute,legal_aid_review,1,1,2,4,0.5,1,1,0,0,1,1,1.0,medium,0
sahara,pub_01_s1,pub_01,yoruba,public_service,streetlight_failure,public_infrastructure_complaint,1,1,1,5,0.2,0,0,0,0,3,3,0.8,medium,1
sahara,legal_06_s1,legal_06,yoruba,legal,consumer_dispute,consumer_protection_review,1,1,3,3,1.0,1,1,0,0,2,2,1.0,medium,0
sahara,pub_03_s1,pub_03,pidgin,public_service,road_or_drainage,public_infrastructure_complaint,1,1,3,5,0.6,0,0,0,0,1,1,1.0,high,0
sahara,legal_05_s1,legal_05,pidgin,legal,consumer_dispute,consumer_protection_review,1,1,2,4,0.5,0,1,0,0,3,3,1.0,high,0
sahara,pub_02_s1,pub_02,pidgin,public_service,water_supply,utility_complaint,1,1,3,4,0.75,1,1,0,0,2,2,0.8,high,1
sahara,pub_04_s1,pub_04,igbo,public_service,electricity_supply,utility_complaint,1,1,1,4,0.25,0,1,0,0,2,2,0.6,medium,2
sahara,legal_04_s1,legal_04,igbo,legal,employment_dispute,labour_review,1,1,2,3,0.6666666666666666,0,0,0,0,4,4,0.8,medium,1
sahara,pub_06_s1,pub_06,hausa,public_service,health_facility,health_service_complaint,1,1,2,4,0.5,0,0,0,0,4,4,0.6,medium,2
sahara,pub_05_s1,pub_05,yoruba,public_service,waste_management,sanitation_complaint,1,1,2,4,0.5,1,1,0,0,3,3,0.6,medium,2
whisper_large_v3,fin_01_s1,fin_01,pidgin,financial,failed_transfer,bank_dispute_workflow,1,1,2,5,0.4,1,1,1,1,2,2,1.0,medium,0
whisper_large_v3,fin_02_s1,fin_02,yoruba,financial,unauthorized_transaction,fraud_review,1,1,2,5,0.4,1,1,0,0,1,1,0.667,medium,2
whisper_large_v3,fin_03_s1,fin_03,pidgin,financial,failed_atm_withdrawal,bank_dispute_workflow,1,1,4,5,0.8,2,2,0,0,2,2,1.0,medium,0
whisper_large_v3,fin_05_s1,fin_05,pidgin,financial,payment_dispute,merchant_dispute_workflow,1,1,2,4,0.5,1,1,0,0,1,1,0.667,high,2
whisper_large_v3,fin_06_s1,fin_06,hausa,financial,loan_dispute,lending_conduct_review,1,1,2,4,0.5,3,3,0,0,1,1,0.667,high,2
whisper_large_v3,legal_01_s1,legal_01,pidgin,legal,tenancy_dispute,legal_aid_review,1,1,4,4,1.0,1,1,0,0,2,2,0.8,medium,1
whisper_large_v3,legal_02_s1,legal_02,yoruba,legal,tenancy_dispute,legal_aid_review,1,1,3,4,0.75,1,1,0,0,1,1,1.0,medium,0
whisper_large_v3,legal_03_s1,legal_03,pidgin,legal,employment_dispute,labour_review,1,1,3,4,0.75,1,1,0,0,1,1,1.0,high,0
whisper_large_v3,legal_05_s1,legal_05,pidgin,legal,consumer_dispute,consumer_protection_review,1,1,4,4,1.0,1,1,0,0,3,3,1.0,medium,0
whisper_large_v3,legal_06_s1,legal_06,yoruba,legal,consumer_dispute,consumer_protection_review,1,1,3,3,1.0,1,1,0,0,2,2,1.0,medium,0
whisper_large_v3,pub_01_s1,pub_01,yoruba,public_service,streetlight_failure,public_infrastructure_complaint,1,1,2,5,0.4,0,0,0,0,3,3,1.0,medium,0
whisper_large_v3,pub_02_s1,pub_02,pidgin,public_service,water_supply,utility_complaint,1,1,2,4,0.5,1,1,0,0,2,2,0.6,high,2
whisper_large_v3,pub_03_s1,pub_03,pidgin,public_service,road_or_drainage,public_infrastructure_complaint,1,1,2,5,0.4,0,0,0,0,1,1,0.8,high,1
whisper_large_v3,pub_05_s1,pub_05,yoruba,public_service,waste_management,sanitation_complaint,1,1,1,4,0.25,0,1,0,0,3,3,0.6,low,2
whisper_large_v3,pub_06_s1,pub_06,hausa,public_service,health_facility,health_service_complaint,1,1,2,4,0.5,0,0,0,0,4,4,0.6,high,2
whisper_large_v3,fin_04_s1,fin_04,igbo,financial,unauthorized_transaction,fraud_review,1,1,4,5,0.8,1,1,0,0,3,3,1.0,high,0
whisper_large_v3,legal_04_s1,legal_04,igbo,legal,employment_dispute,labour_review,1,1,3,3,1.0,0,0,0,0,4,4,0.8,high,1
whisper_large_v3,pub_04_s1,pub_04,igbo,public_service,electricity_supply,utility_complaint,1,1,1,4,0.25,1,1,0,0,2,2,0.6,high,2
whisper_small,fin_01_s1,fin_01,pidgin,financial,failed_transfer,bank_dispute_workflow,1,1,2,5,0.4,1,1,1,1,2,2,1.0,medium,0
whisper_small,fin_02_s1,fin_02,yoruba,financial,other_financial,general_financial_triage,0,0,0,5,0.0,0,1,0,0,1,1,0.0,low,6
whisper_small,fin_03_s1,fin_03,pidgin,financial,failed_atm_withdrawal,bank_dispute_workflow,1,1,4,5,0.8,2,2,0,0,2,2,1.0,medium,0
whisper_small,fin_04_s1,fin_04,igbo,financial,unauthorized_transaction,fraud_review,1,1,4,5,0.8,1,1,0,0,3,3,1.0,high,0
whisper_small,fin_05_s1,fin_05,pidgin,financial,payment_dispute,merchant_dispute_workflow,1,1,2,4,0.5,1,1,0,0,1,1,0.667,high,2
whisper_small,fin_06_s1,fin_06,hausa,financial,loan_dispute,lending_conduct_review,1,1,2,4,0.5,3,3,0,0,1,1,0.667,high,2
whisper_small,legal_01_s1,legal_01,pidgin,legal,tenancy_dispute,legal_aid_review,1,1,4,4,1.0,1,1,0,0,2,2,0.8,low,1
whisper_small,legal_02_s1,legal_02,yoruba,legal,other_legal,general_legal_triage,0,0,0,4,0.0,0,1,0,0,1,1,0.0,low,5
whisper_small,legal_03_s1,legal_03,pidgin,legal,employment_dispute,labour_review,1,1,2,4,0.5,1,1,0,0,1,1,0.8,medium,1
whisper_small,legal_04_s1,legal_04,igbo,legal,employment_dispute,labour_review,1,1,3,3,1.0,0,0,0,0,4,4,0.8,high,1
whisper_small,legal_05_s1,legal_05,pidgin,legal,consumer_dispute,consumer_protection_review,1,1,4,4,1.0,1,1,0,0,3,3,1.0,medium,0
whisper_small,legal_06_s1,legal_06,yoruba,legal,consumer_dispute,consumer_protection_review,1,1,1,3,0.3333333333333333,1,1,0,0,2,2,1.0,medium,0
